,id,name_x,Марка :,Применение:,Дополнение:,Cu,Al,C,Ni,Si,Cr,Mn,Zn,Ti,Fe,Заменитель:,Mo,Mg,V,Классификация :,type_x,Pb,Примесей,-,W,Sn,Co,Ag,Nb,P,Zr,Sb,S,Cd,B,Pt,Ni+Co,Au,Pd,Bi,N,As,O,Ca,Be,Rh,sв,d5,Ir,Ce,Te,sT,Tl,y,Se,H,Na,Ta,Hg,In,Ru,Ga,KCU,Ba,Nd,Li,Al+Mg,Cl,La,РЗМ,Sr,Re,Cu+P,Sc,Hf,F
1341,566,45Х17Г13Н3ЮЛ,45Х17Г13Н3ЮЛ,"для деталей отпускных, закалочных и цементационных печей, подовых плит, коробов, тиглей для соляных ванн и других деталей, работающих при высоких температурах; деталей, коррозионностойких в сернистых средах; сталь аустенитного класса.","Сталь коррозионностойкая, жаростойкая при температуре до 900 град.С, жаропрочная аустенитного класса. Сталь 45Х17Г13Н3ЮЛ рекомендуется как заменитель стали марки 40Х24Н12СЛ.",,0.6 - 1,0.4 - 0.5,2.5 - 3.5,0.8 - 1.5,16 - 18,12 - 15,,,,,,,,Сталь для отливок легированная с особыми свойствами,Сталь для отливок легированная с особыми свойствами,,,,,,,,,до 0.035,,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,563,55Х18Г14С2ТЛ,55Х18Г14С2ТЛ,"детали, работающие при высокой температуре и давлении. Сталь жаростойкая до 950 °С, в среде серной кислоты нестойкая, аустенитного класса.",,,,0.45 - 0.65,,1.5 - 2.5,16 - 19,12 - 16,,0.1 - 0.3,,,,,,Сталь для отливок легированная с особыми свойствами,Сталь для отливок легированная с особыми свойствами,,,,,,,,,до 0.04,,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,633,90Х4М4Ф2В6Л,90Х4М4Ф2В6Л ( другое обозначение Р6М4Ф2Л ),"Для изготовления литых заготовок для инструмента, получаемого последующим методом горячей пластической деформации (ковка, горячее выдавливание) и для литого металлорежущего инструмента (применяются для отливок 1-ой группы).","Cталь мартенситного класса.Быстрорежущая, износоустойчивая, теплостойкая.",,,0.85 - 0.95,,0.2 - 0.4,3 - 4,0.4 - 0.7,,,,,3 - 4,,2 - 2.6,Сталь для отливок легированная с особыми свойствами,Сталь для отливок легированная с особыми свойствами,,,,5 - 7,,,,,до 0.04,,,до 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,3284,АНВ-300,АНВ-300 ( другое обозначение АНВ300 ),"Изготовление чушек и литых прутков, предназначенных для дальнейшего переплава при производстве фасонных отливок",Сплав жаропрочный на никелевой основе,,4.5 - 5.5,до 0.1,64.2 - 70.1,до 0.5,14 - 17,до 0.5,,1.4 - 2,,,,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,7 - 10,,,,,до 0.015,,,до 0.01,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,3282,В3К,В3К,"Изготовление чушек и литых прутков, предназначенных для дальнейшего переплава при производстве фасонных отливок; для наплавки клапанов двигателей внутреннего сгорания и других деталей с аналогичными требованиями.",Сплав жаропрочный жаростойкий на кобальтовой основе,,,1 - 1.3,до 2,2 - 2.75,28 - 32,,,,до 2,,,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Co - basis,4 - 5,,54.8 - 65,,,,,,до 0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,3279,ВЖЛ1,ВЖЛ1 ( другое обозначение ВЖЛ1-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,2 - 2.8,0.1 - 0.17,59.5 - 66.1,1.2 - 2,15 - 17,до 0.3,,2 - 3,6 - 7.5,,3.5 - 5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,2 - 2.5,,,,,до 0.02,,,до 0.02,,0.09 - 0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,3272,ВЖЛ12У,ВЖЛ12У ( другое обозначение ВЖЛ12У-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,5 - 5.7,0.14 - 0.2,53.8 - 63.46,до 0.4,8.5 - 10.5,до 0.4,,4.2 - 4.7,до 2,,2.7 - 3.4,,0.5 - 1,Сплав жаропрочный литейный,Сплав жаропрочный литейный,до 0.001,,Ni - basis,1 - 1.8,,12 - 15,,0.5 - 1,до 0.015,до 0.02,,до 0.015,,до 0.015,,,,,до 0.0005,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,3273,ВЖЛ12Э,ВЖЛ12Э ( другое обозначение ВЖЛ12Э-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,5 - 5.7,0.12 - 0.2,59.3 - 68,до 0.4,8.5 - 10,до 0.4,,4.2 - 4.7,до 2,,2.7 - 3.4,,0.5 - 1,Сплав жаропрочный литейный,Сплав жаропрочный литейный,до 0.001,,Ni - basis,1 - 1.8,,8 - 10,,0.5 - 1,до 0.015,до 0.02,,до 0.015,,до 0.015,,,,,до 0.0005,,,,,,,,,,до 0.015,,,,,,,,,,,,,,,,,,,до 0.01,,,,,,,
1349,3287,ВЖЛ14,ВЖЛ14,"Изготовление заготовок, предназначенных для дальнейшего переплава при производстве фасонных отливок",Сплав жаропрочный на никелевой основе,,1.2 - 1.5,0.05 - 0.08,59.1 - 63.7,до 0.4,18 - 20,до 0.4,,2.6 - 2.9,8 - 10,,4.5 - 5.5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,,,,,,до 0.01,,,до 0.01,,до 0.005,,,,,,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,632,85Х4М5Ф2В6Л,85Х4М5Ф2В6Л ( другое обозначение Р6М5Л ),"для изготовления литых заготовок для инструмента, получаемого последующим методом горячей пластической деформации (ковка, горячее выдавливание) и для литого металлорежущего инструмента (применяются для отливок 1-ой группы). Cталь мартенситного класса.","Быстрорежущая, износоустойчивая, теплостойкая.",,,0.82 - 0.9,до 0.4,до 0.5,3.8 - 4.4,до 0.5,,,,,4.8 - 5.3,,1.7 - 2.1,Сталь для отливок легированная с особыми свойствами,Сталь для отливок легированная с особыми свойствами,,,,5.5 - 6.5,,,,,до 0.03,,,до 0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,3274,ВЖЛ14Н,ВЖЛ14Н ( другое обозначение ВЖЛ14Н-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,1.2 - 1.5,0.03 - 0.08,56.8 - 62.5,до 0.4,18 - 20,до 0.4,,2.5 - 2.9,8 - 10,,4 - 5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,,,,,1.8 - 2.8,до 0.015,,,до 0.015,,до 0.005,,,,,,,,,,,,,,,до 0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,3271,ВЖЛ2,ВЖЛ2 ( другое обозначение ВЖЛ2-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,1.5 - 3,0.11 - 0.17,48 - 58.2,1 - 2,12 - 15,,,2 - 3.2,2 - 3.5,,12 - 15,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,8 - 10,,,,,до 0.02,,,до 0.02,,до 0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,3286,ВЖЛ8,ВЖЛ8,"Изготовление чушек и литых прутков, предназначенных для дальнейшего переплава при производстве фасонных отливок",Сплав жаропрочный на никелевой основе,,2.5 - 3.5,0.1 - 0.2,57.4 - 66.1,до 0.6,14 - 17,до 0.6,,1.8 - 2.5,8 - 12,,4.5 - 6,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,,,,,,до 0.02,,,до 0.015,,до 0.06,,,,,,,,,,,,,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,3276,ВХ4Л,ВХ4Л ( другое обозначение ВХ4Л-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,0.7 - 1.3,0.03 - 0.1,51.1 - 56.3,до 0.3,32 - 35,,,0.7 - 1.3,до 0.5,,2.3 - 3.5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,4.3 - 5.5,,,,0.7 - 1.3,,,,до 0.01,,до 0.008,,,,,,,,,до 0.02,,,,,,до 0.03,,,,до 0.04,,,,,,,,,,,,,,,,,,,,,,
1355,3277,ВХ9Л,ВХ9Л ( другое обозначение ВХ9Л-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,1 - 1.6,0.02 - 0.1,44.1 - 54.8,до 0.4,30 - 35,до 0.5,,0.7 - 1.3,до 6,,2.9 - 3.5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,4.7 - 5.3,,0.2 - 0.8,,0.7 - 1.3,до 0.015,,,до 0.01,,до 0.005,,,,,,,,,до 0.02,,,,,,,,,,до 0.04,,,,,,,,,,,,,,,,,,,,,,
1356,3268,ЖС16,ЖС16 ( другое обозначение ЖС16-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,5.6 - 6.2,0.08 - 0.14,58.9 - 65.5,до 0.2,4.6 - 5.2,до 0.4,,0.7 - 1.2,до 1,,,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,до 0.001,,Ni - basis,15.3 - 16.5,,6 - 8,,1.6 - 2.1,до 0.015,до 0.02,,до 0.015,,до 0.02,,,,,до 0.0005,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,до 0.02,,,,,,0.7 - 1.2,
1357,3266,ЖС3,ЖС3 ( другое обозначение ЖС3-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,1.6 - 2.2,0.11 - 0.16,56.8 - 71.1,до 0.6,14 - 18,до 0.6,,1.6 - 2.3,до 8,,3 - 4.5,,до 0.3,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,4.5 - 6.5,,,,,до 0.015,,,до 0.009,,0.005 - 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,3275,ВЖЛ18,ВЖЛ18 ( другое обозначение ВЖЛ18-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,3.4 - 4,0.1 - 0.15,55.1 - 64.1,до 0.4,17 - 18,до 0.4,,2.2 - 3,до 1,,4.5 - 6,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,до 0.001,,Ni - basis,2.5 - 4,,4 - 6,,1.2 - 1.8,до 0.015,до 0.02,,до 0.015,,до 0.06,,,,,до 0.0005,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,3267,ЖС3ДК,ЖС3ДК ( другое обозначение ЖС3ДК-ВИ ),Изготовление литых прутковых заготовок и чушек для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,4 - 4.8,0.06 - 0.11,57.5 - 65.3,до 0.4,11 - 12.5,до 0.4,,2.5 - 3.2,до 2,,3.8 - 4.5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,3.8 - 4.5,,8 - 10,,,до 0.015,,,до 0.01,,до 0.02,,,,,,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,3280,ЖС3ЛС,ЖС3ЛС,"Изготовление чушек и литых прутков, предназначенных для дальнейшего переплава при производстве фасонных отливок",Сплав жаропрочный на никелевой основе,,2.4 - 3,0.05 - 0.12,58.6 - 67.1,до 0.6,15 - 18,до 0.6,,2.4 - 3,до 2,,3 - 4.5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,3 - 4.5,,4 - 5,,,до 0.015,до 0.015,,до 0.015,,до 0.015,,,,,,,,,,,,,,,до 0.015,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,3278,ЖС6К,ЖС6К ( другое обозначение ЖС6К-ВИ ),Изготовление литых прутковых заготовок и чушек для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,5 - 6,0.13 - 0.2,60.1 - 68.4,до 0.4,9.5 - 12,до 0.4,,2.5 - 3.2,до 2,,3.5 - 4.5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,до 0.001,,Ni - basis,4.5 - 5.5,,4 - 5.5,,,до 0.015,до 0.04,,до 0.015,,до 0.02,,,,,до 0.0005,,,,,,,,,,до 0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,3269,ЖС6У,ЖС6У ( другое обозначение ЖС6У-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,5.1 - 6,0.13 - 0.2,54.3 - 62.7,до 0.4,8 - 9.5,до 0.4,,2 - 2.9,до 1,,1.2 - 2.4,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,до 0.001,,Ni - basis,9.5 - 11,,9 - 10.5,,0.8 - 1.2,до 0.015,до 0.04,,до 0.01,,до 0.035,,,,,до 0.0005,,,,,,,,,,до 0.02,,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,
1363,3270,ЖС30,ЖС30 ( другое обозначение ЖС30-ВИ ),Изготовление литых прутковых заготовок для последующего переплава при литье лопаток и других фасонных отливок,Сплав жаропрочный на никелевой основе,,4.8 - 5.8,0.11 - 0.2,56.2 - 65.4,до 0.4,5 - 9,до 0.4,,1.4 - 2.3,до 1,,0.4 - 1,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,11 - 12.6,,7.5 - 9.5,,0.4 - 1.4,до 0.015,до 0.02,,до 0.01,,до 0.02,,,,,,,,,до 0.005,,,,,,до 0.015,,,,до 0.03,,,,,,,,,,,,,,,до 0.005,,,,,,0.3 - 1.2,
1364,3285,Л114,Л114,"Изготовление чушек и литых прутков, предназначенных для дальнейшего переплава при производстве фасонных отливок",Сплав жаропрочный на никелевой основе,,5.5 - 6.8,0.15 - 0.3,55.5 - 64.2,до 0.4,10 - 12,до 0.4,,2.2 - 3,до 1.5,,3 - 4,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,Ni - basis,3 - 4,,10 - 12,,,до 0.015,,,до 0.01,,до 0.04,,,,,,,,,,,,,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,3283,ЛК4,ЛК4,"Изготовление чушек и литых прутков, предназначенных для дальнейшего переплава при производстве фасонных отливок",,,,0.15 - 0.25,3 - 3.75,до 0.5,25 - 28,до 0.6,,,до 1.5,,4.5 - 5.5,,,Сплав жаропрочный литейный,Сплав жаропрочный литейный,,,,до 0.5,,min 58,,,до 0.025,,,до 0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,3295,ВХН1,ВХН1,Для наплавки клапанов двигателей внутреннего сгорания и других деталей с аналогичными требованиями.,Сплав жаростойкий,,,1 - 1.25,50 - 60,2 - 2.75,35 - 40,до 0.5,,,до 5,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,,,,,,до 0.03,,,до 0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,755,ХН28ВМАБ,ХН28ВМАБ ( другое обозначение Х21Н28В5М3БАР ЭП126 ),листовые детали турбин; сплав жаростойкий,,,,до 0.1,25 - 30,до 0.6,19 - 22,до 1.5,,,34.655 - 47.55,,2.8 - 3.5,,,Сплав жаропрочный,Сплав жаропрочный,,,,4.8 - 6,,,,0.7 - 1.3,до 0.02,,,до 0.02,,до 0.005,,,,,,0.15 - 0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,67,ХН32Т,ХН32Т ( другое обозначение Х20Н32Т ЭП670 ),"газоотводящие трубы, листовые детали высокотемпературных установок в нефтехимическом машиностроении для длительной службы при температурах 700-850 град.",,,до 0.5,до 0.05,30 - 34,до 0.7,19 - 22,до 0.7,,0.25 - 0.6,41.4 - 50.75,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,,,,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,3116,ХН33БС,ХН33БС,"Для изготовления центробежнолитых труб, предназначенных для эксплуатации в виде реакционных труб в установках для производства метанола и аммиака и работающие при температурах до +960 °С и рабочем давлении до 3,92 Н/мм2.",Жаропрочный хромоникелевый сплав на железной основе.,до 0.2,0.0005 - 0.1,0.3 - 0.4,30 - 33,0.45 - 0.95,20 - 23,0.8 - 1.45,до 0.01,0.0005 - 0.15,,,до 0.25,,0.0005 - 0.15,Сплав жаропрочный,Сплав жаропрочный,до 0.01,,Fe - basis,0.05 - 0.2,до 0.01,до 0.1,,1 - 1.7,до 0.025,,,до 0.02,,,,,,,,,до 0.01,,,,,,,,0.07 - 0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,68,ХН35ВТ,ХН35ВТ ( другое обозначение ЭИ612 ),"диски, роторы, крепежные детали, плоские пружины и другие детали, работающие до 650 °С.",,,,до 0.12,34 - 38,до 0.6,14 - 16,1 - 2,,1.1 - 1.5,38.23 - 47.1,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,2.8 - 3.5,,,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,999,10Х15Н35В3ТЮ,10Х15Н35В3ТЮ,"диски, лопатки, крепеж для работы до 700 град.",,,1.7 - 1.5,до 0.1,34 - 38,до 0.5,14 - 16,1 - 2,,0.7 - 1,36.83 - 45.6,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,3 - 4,,,,,до 0.03,,,до 0.03,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,1000,ХН35ВТР,ХН35ВТР ( другое обозначение ЭИ725 ),"лист для корпусов и направляющих лопаток турбин, работающи при температурах до 750-800 град.",,,,до 0.1,35 - 38,до 0.6,14 - 16,до 1,,1.1 - 1.5,37.725 - 45.9,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,4 - 5,,,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,до 0.025,,,,,,,,,,,,,,,,,,,,,
1373,69,ХН35ВТЮ,ХН35ВТЮ ( другое обозначение ЭИ787 ),"рабочие лопатки газотурбинных и других двигателей, работающие при температуре до 700—800 °С, компрессорные лопатки, работающие до 700—800 °С, диски, дефлекторы, кольца, работающие при температуре до 750 °С.",,,0.7 - 1.4,до 0.08,33 - 37,до 0.6,14 - 16,до 0.6,,2.4 - 3.2,37.545 - 47.4,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,2.5 - 3.5,,,,,до 0.035,,,до 0.02,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,947,ХН38ВБ,ХН38ВБ ( другое обозначение ЭИ703Б ),"детали газовых систем, листовые детали, работающие при умеренных напряжениях",,,до 0.5,0.06 - 0.12,35 - 39,до 0.8,20 - 23,до 0.7,,,30.58 - 40.94,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,2.8 - 3.5,,,,1.2 - 1.7,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,754,ХН38ВТ,ХН38ВТ ( другое обозначение ЭИ703 ),"детали газовых систем, листовые детали, работающие при умеренных напряжениях",,,до 0.5,0.06 - 0.12,35 - 39,до 0.8,20 - 23,до 0.7,,0.7 - 1.2,31.08 - 41.44,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,2.8 - 3.5,,,,,до 0.03,,,до 0.02,,,,,,,,,,,,,,,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,74,ХН45Ю,ХН45Ю ( другое обозначение ЭП747 ),"ролики щелевых печей, печные конвейерные сетки, детали горелочных устройств, чехлы термопар и др. детали для длительной работы при температурах 1250-1300 град.С",,,2.9 - 3.9,до 0.1,44 - 46,до 1,15 - 17,до 1,,,30.825 - 38.1,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,,,,,,до 0.025,,,до 0.02,,,,,,,,,,,,,,,,,до 0.03,,,,,,,,,,,,,,до 0.1,,,,,,,,,,,,
1377,2565,ХН51ВМТЮКФР-ВД,ХН51ВМТЮКФР-ВД ( другое обозначение ЭП220-ВД ХН51ВМТЮКФР ),"Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.",,до 0.07,3.9 - 4.8,до 0.08,44.3 - 57.7,до 0.5,9 - 12,до 0.5,,2.2 - 2.9,до 3,,5 - 8,,0.2 - 0.8,Сплав жаропрочный,Сплав жаропрочный,,,,5 - 7,,14 - 16,,,до 0.015,,,до 0.009,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,957,ХН55ВМТКЮ,ХН55ВМТКЮ ( другое обозначение ЭИ929 ХН55ВМТКЮ-ВД ЭИ929-ВД ),Лопатки турбин и другие детали для работы при температурах до 950°С.,Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1050 °C.,,3.6 - 4.5,0.04 - 0.1,,до 0.5,9 - 12,до 0.5,,1.4 - 2,,,4 - 6,,0.2 - 0.8,Сплав жаропрочный,Сплав жаропрочный,,,,4.5 - 6.5,,12 - 16,,,до 0.015,,,до 0.01,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,952,ХН55МВЮ,ХН55МВЮ ( другое обозначение ХН55М6ВЮ ЭП454 ),"лопатки, диски турбин",,,4.2 - 5,до 0.08,51.075 - 60.3,до 0.4,9 - 11,до 0.4,,,17 - 20,,5 - 6.5,,,Сплав жаропрочный,Сплав жаропрочный,,,,4.5 - 5.5,,,,,до 0.015,,,до 0.01,,до 0.01,,,,,,,,,,,,,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,78,ХН56ВМКЮ,ХН56ВМКЮ ( другое обозначение ЭП109 ХН56ВМКЮ-ВД ЭП109-ВД ),Лопатки газовых турбин и другие детали для работы под нагрузкой при температурах до 950°С.,Срок работы - ограниченный. Температура начала интенсивного окалинообразования 1080 °C.,,5.4 - 6.2,до 0.1,52.234 - 62.6,до 0.6,8.5 - 10.5,до 0.3,,,до 1.5,,6.5 - 8,,,Сплав жаропрочный,Сплав жаропрочный,,,,6 - 7.5,,11 - 13,,,до 0.015,,,до 0.011,,до 0.02,,,,,,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,79,ХН56ВМТЮ,ХН56ВМТЮ ( другое обозначение ЭП199 ),"высоконагруженные детали, штуцера, фланцы, листовые детали для ограниченного срока службы при температурах до 950 град.С",,,2.1 - 2.6,до 0.1,52.102 - 64.8,до 0.06,19 - 22,до 0.5,,1.1 - 1.6,до 4,,4 - 6,,,Сплав жаропрочный,Сплав жаропрочный,,,,9 - 11,,,,,до 0.015,,,до 0.015,,до 0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,951,ХН57МТВЮ,ХН57МТВЮ ( другое обозначение ЭП590 ),"лопатки, корпуса и другие детали турбин",,,1 - 1.5,до 0.07,53.09 - 61.8,до 0.5,17 - 19,до 0.5,,2.2 - 2.8,8 - 10,,8.5 - 10,,,Сплав жаропрочный,Сплав жаропрочный,,,,1.5 - 2.5,,,,,до 0.015,,,до 0.01,,до 0.005,,,,,,,,,,,,,,,до 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,812,ХН60ВТ,ХН60ВТ ( другое обозначение ЭИ868 ),"листовые детали двигателя,работающие при температурах до 1000 °С.; сплав жаростойкий, жаропрочный",,,до 0.5,до 0.1,50.874 - 63.2,до 0.8,23.5 - 26.5,до 0.5,,0.3 - 0.7,до 4,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,13 - 16,,,,,до 0.013,,,до 0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,2563,ХН58ВМКЮР-ВД,ХН58ВМКЮР-ВД ( другое обозначение ЭП238-ВД ХН58ВМКЮР ),"Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.",,до 0.07,6.1 - 6.7,до 0.08,52.88 - 62.4,до 0.4,7.5 - 9,до 0.3,,,до 1,,3 - 5.5,,,Сплав жаропрочный,Сплав жаропрочный,,,,6 - 8,,13.5 - 16,,,до 0.015,,,до 0.01,,до 0.02,,,,,,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,2564,ХН60МЮВТ-ВД,ХН60МЮВТ-ВД ( другое обозначение ЭП539-ВД ХН60МЮВТ ),"Для изготовления различных деталей ответственного назначения энергомашиностроения, двигателестроения, турбиностроения; лопаток турбин; деталей специальной техники.",,до 0.07,3 - 4,0.04 - 0.09,57.77 - 68.46,до 0.5,17 - 19,до 0.5,,2 - 3,до 4,,5 - 7,,,Сплав жаропрочный,Сплав жаропрочный,,,,2.5 - 4,,,,,до 0.015,,,до 0.01,,до 0.02,,,,,,,,,,,,,,,до 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,756,ХН60Ю,ХН60Ю ( другое обозначение ЭИ559А ),"Детали газопроводных систем, аппаратура с ограниченным сроком службы при 1100 град.С и кратковременным сроком службы при 1250 град.С ; сплав жаростойкий",С 1.01.91 не допускается к применению во вновь создаваемой и модернизируемой технике.,,2.6 - 3.5,до 0.1,55 - 58,до 0.8,15 - 18,до 0.3,,,19.13 - 27.4,,,,,Сплав жаропрочный,Сплав жаропрочный,,,,,,,,,до 0.02,,,до 0.02,,,,,,,,,,,,,,,,,до 0.03,,,,,,,,,,,,,,до 0.1,,,,,,,,,,,,
1387,77,ХН65ВМТЮ,ХН65ВМТЮ ( другое обозначение ХН65МВТЮ ЭИ893 ХН65ВМТЮ-ВД ЭИ893-ВД ХН65ВМТЮ-ВИ ЭИ893-ВИ ),"Рабочие и направляющие лопатки и крепежные детали газовых турбин, работающие при температурах до 800 °С.",Срок работы - весьма длительный. Температура начала интенсивного окалинообразования 1000 °С,,1.2 - 1.6,до 0.07,60.968 - 70.6,до 0.6,15 - 17,до 0.6,,1.2 - 1.6,до 3,,3.5 - 4.5,,,Сплав жаропрочный,Сплав жаропрочный,,,,8.5 - 10,,,,,до 0.015,,,до 0.012,,до 0.01,,,,,,,,,,,,,,,до 0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
